Height,Weight,Age,Gender,Activity,Diet,Health Goal,Breakfast,B_Calories,B_Carbs,B_Protein,B_Fats,Lunch,L_Calories,L_Carbs,L_Protein,L_Fats,Dinner,D_Calories,D_Carbs,D_Protein,D_Fats
168,94,47,Female,Sedentary,Vegetarian,Maintain,Ragi Porridge & Almonds + Chikku,290,48,10,4,Rajma Sundal & Coconut Rice + Muskmelon,540,87,20,12,Pumpkin Rasam & Quinoa + Pomegranate,470,70,20,8
165,67,46,Male,Very Active,Vegetarian,Weight Loss,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Palak Paneer & Jeera Rice + Papaya,540,85,21,11,Vegetable Uttapam & Mint Chutney + Banana,400,68,15,8
177,66,38,Female,Very Active,Non-Vegetarian,Weight Loss,Aval (Flattened Rice) Upma & Boiled Peanuts + Watermelon,310,55,9,5,Beans Poriyal & Chapati + Mango Raita,500,78,17,10,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
172,82,59,Male,Sedentary,Vegetarian,Weight Loss,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Chapati & Dal Fry + Cucumber Raita,430,72,18,9
173,74,46,Female,Very Active,Non-Vegetarian,Muscle Gain,Egg Dosa & Mint Chutney + Apple,360,50,15,7,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Fish Fry & Red Rice + Sprouted Moong Salad,620,82,38,15
183,70,42,Male,Moderately Active,Non-Vegetarian,Muscle Gain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Mixed Veg Kurma & Bajra Roti + Cucumber Raita,520,85,17,11,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
172,69,53,Male,Sedentary,Non-Vegetarian,Weight Loss,Rava Idli & Coriander Chutney + Fig,330,58,10,6,Fish Curry & Red Rice + Beetroot Salad,620,85,30,15,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
167,67,31,Male,Moderately Active,Vegetarian,Muscle Gain,Rava Idli & Coriander Chutney + Fig,330,58,10,6,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Ragi Roti & Keerai Masiyal + Dates,460,70,18,9
179,83,47,Female,Moderately Active,Vegetarian,Muscle Gain,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Peerkangai (Ridge Gourd) Kootu & Red Rice + Banana,520,82,18,10,Channa Dal Curry & Jowar Roti + Pomegranate,470,78,20,10
161,97,33,Female,Very Active,Vegetarian,Muscle Gain,Kambu (Bajra) Dosa & Mint Chutney + Pineapple,320,55,9,5,Mixed Veg Kurma & Bajra Roti + Cucumber Raita,520,85,17,11,Curd Rice & Pomegranate + Almonds,450,74,17,10
161,64,33,Female,Moderately Active,Non-Vegetarian,Weight Loss,Rava Idli & Coriander Chutney + Fig,330,58,10,6,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Crab Masala & Red Rice + Carrot Raita,710,98,40,22
171,93,37,Male,Moderately Active,Vegetarian,Muscle Gain,Dosa & Coconut Chutney + Orange,320,55,8,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
160,59,56,Female,Lightly Active,Non-Vegetarian,Weight Loss,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Coconut Dal & Ragi Roti + Dates,530,82,18,10,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Mango,470,76,20,10
165,81,21,Female,Sedentary,Vegetarian,Weight Loss,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Spinach Dal & Jowar Roti + Mango,520,80,18,10,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
189,67,19,Male,Sedentary,Non-Vegetarian,Maintain,Fish Cutlet & Ragi Idli + Banana,350,53,19,8,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
169,59,24,Male,Sedentary,Non-Vegetarian,Maintain,Chicken Keema Dosa & Mint Chutney + Kiwi,360,50,18,8,Grilled Fish & Steamed Rice + Tomato Salad,620,84,28,15,Adai & Avial + Mixed Fruit Salad,490,75,22,10
154,54,45,Female,Sedentary,Non-Vegetarian,Maintain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
166,79,34,Female,Moderately Active,Vegetarian,Muscle Gain,Barnyard Millet Pongal & Peanut Chutney + Pomegranate,310,54,13,5,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Rajma Masala & Bajra Roti + Curd,500,82,23,13
150,51,48,Male,Very Active,Non-Vegetarian,Weight Loss,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Mutton Pepper Fry & Chapati + Tomato Soup,710,98,40,22
185,78,20,Male,Sedentary,Vegetarian,Maintain,Ragi Idli & Avocado Chutney + Papaya,310,52,11,5,Rajma Curry & Brown Rice + Mango,540,82,20,12,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
182,84,41,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Brinjal Gothsu & Millets + Apple,470,70,20,8
179,97,43,Male,Sedentary,Vegetarian,Weight Loss,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Mixed Vegetable Sagu & Chapati + Kiwi,500,75,16,8,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
155,96,38,Male,Lightly Active,Vegetarian,Weight Loss,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
160,68,31,Female,Sedentary,Vegetarian,Maintain,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Masoor Dal Khichdi & Curd + Dates,450,74,19,9
181,61,27,Male,Moderately Active,Vegetarian,Weight Loss,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Bottlegourd Curry & Brown Rice + Guava,510,78,17,9,Ragi Roti & Keerai Masiyal + Dates,460,70,18,9
159,76,23,Female,Sedentary,Vegetarian,Weight Loss,Barnyard Millet Upma & Coconut Chutney + Dates,300,54,8,5,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
150,72,28,Female,Lightly Active,Vegetarian,Muscle Gain,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Green Gram Sundal & Chapati + Banana,460,75,19,9
184,91,54,Male,Moderately Active,Vegetarian,Muscle Gain,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Brinjal Kootu & Red Rice + Curd,540,85,20,11,Chapati & Dal Fry + Cucumber Raita,430,72,18,9
183,59,20,Male,Sedentary,Vegetarian,Weight Loss,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Vegetable Kurma & Coconut Rice + Boiled Sweet Potato,550,88,18,13,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
166,55,27,Female,Sedentary,Vegetarian,Weight Loss,Flaxseed Adai & Tomato Chutney + Banana,310,52,11,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
175,81,56,Male,Lightly Active,Vegetarian,Maintain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Drumstick Sambar & Ragi Mudde + Muskmelon,550,90,22,12,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
179,55,31,Female,Moderately Active,Vegetarian,Maintain,Ragi Porridge & Almonds + Orange,280,50,10,4,Pumpkin Kootu & Chapati + Banana,500,75,16,8,Rajma Masala & Bajra Roti + Curd,500,82,23,13
175,95,25,Female,Lightly Active,Non-Vegetarian,Maintain,Ragi Porridge & Almonds + Chikku,290,48,10,4,Sambar Rice & Curd + Cucumber Salad,550,85,18,12,Adai & Avial + Mixed Fruit Salad,490,75,22,10
167,74,39,Female,Very Active,Non-Vegetarian,Muscle Gain,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Grilled Fish & Millet Roti + Sprout Salad,550,76,30,14
157,75,38,Female,Moderately Active,Non-Vegetarian,Weight Loss,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Paneer Bhurji & Whole Wheat Roti + Fig,520,85,25,12
186,61,23,Female,Very Active,Non-Vegetarian,Muscle Gain,Egg Podimas & Whole Wheat Bread + Apple,340,50,18,7,Brinjal Kootu & Red Rice + Curd,540,85,20,11,Fish Fry & Red Rice + Sprouted Moong Salad,620,82,38,15
178,73,52,Female,Sedentary,Non-Vegetarian,Maintain,Methi Thepla & Yogurt + Guava,340,58,14,7,Tandoori Chicken & Whole Wheat Roti + Cucumber Salad,700,100,40,22,Paneer Bhurji & Whole Wheat Roti + Fig,520,85,25,12
166,78,54,Male,Lightly Active,Vegetarian,Muscle Gain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Kootu Curry & Red Rice + Pomegranate,530,82,18,10,Adai & Avial + Mixed Fruit Salad,490,75,22,10
185,69,56,Male,Very Active,Non-Vegetarian,Maintain,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Egg Bhurji & Chapati + Watermelon,570,88,30,16
183,84,43,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Vegetable Ragi Idiyappam & Coconut Milk + Banana,320,52,10,5,Keerai Masiyal & Jowar Roti + Apple,520,84,19,11,Egg Curry & Rice + Tomato Soup,520,80,25,12
150,83,54,Female,Lightly Active,Non-Vegetarian,Weight Loss,Kuzhi Paniyaram & Green Chutney + Whole Eggs,320,52,9,5,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Rajma Masala & Bajra Roti + Mango,490,80,21,11
183,91,22,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Egg Paratha & Tomato Chutney + Mango,370,55,20,9,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
164,60,27,Female,Moderately Active,Vegetarian,Muscle Gain,Vegetable Semiya & Peanut Chutney + Mango,300,54,8,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
155,67,46,Female,Very Active,Non-Vegetarian,Muscle Gain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Coconut Dal & Ragi Roti + Dates,530,82,18,10,Brinjal Gothsu & Millets + Apple,470,70,20,8
172,92,58,Female,Lightly Active,Vegetarian,Maintain,Multi-Grain Adai & Coconut Chutney + Mango,310,53,13,5,Carrot Kurma & Whole Wheat Roti + Almonds,510,80,18,9,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
157,76,18,Male,Sedentary,Vegetarian,Weight Loss,Methi Thepla & Yogurt + Guava,340,58,14,7,Paneer Bhurji & Whole Wheat Roti + Mango,540,88,21,12,Vegetable Kurma & Bajra Roti + Buttermilk,460,75,22,10
177,82,19,Male,Sedentary,Non-Vegetarian,Weight Loss,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Sprouted Moong Dal Salad & Lemon Rice + Guava,500,75,16,8,Vegetable Uttapam & Mint Chutney + Banana,400,68,15,8
171,57,43,Male,Sedentary,Vegetarian,Muscle Gain,Thinai (Foxtail Millet) Idli & Tomato Chutney + Dates,330,55,12,6,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Chapati & Dal Fry + Cucumber Raita,430,72,18,9
176,86,50,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Mutton Curry & Red Rice + Beetroot Salad,720,95,38,20,Grilled Fish & Jeera Rice + Curd,630,92,34,18
156,97,41,Male,Sedentary,Vegetarian,Muscle Gain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Carrot & Capsicum Stir Fry & Millet Roti + Watermelon,450,74,18,9
187,91,23,Male,Moderately Active,Vegetarian,Weight Loss,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Green Peas Masala & Jeera Rice + Cucumber Salad,520,82,17,10,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
179,69,19,Male,Sedentary,Vegetarian,Maintain,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Curd Rice & Pomegranate + Almonds,450,74,17,10
165,96,32,Female,Sedentary,Vegetarian,Maintain,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
171,78,38,Male,Lightly Active,Vegetarian,Muscle Gain,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Rajma Curry & Brown Rice + Mango,540,82,20,12,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
151,70,30,Male,Sedentary,Vegetarian,Muscle Gain,Jackfruit Idli & Peanut Chutney + Muskmelon,320,53,12,6,Beans Poriyal & Chapati + Mango Raita,500,78,17,10,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
158,57,33,Male,Moderately Active,Vegetarian,Muscle Gain,Multi-Grain Adai & Coconut Chutney + Mango,310,53,13,5,Mixed Sprouts Khichdi & Yogurt + Apple,520,80,19,10,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
178,98,47,Female,Sedentary,Non-Vegetarian,Weight Loss,Fish Tawa Fry & Red Rice Idiyappam + Banana,360,53,21,8,Peerkangai (Ridge Gourd) Kootu & Red Rice + Banana,520,82,18,10,Palak Paneer & Chapati + Guava,490,80,22,12
150,83,53,Female,Moderately Active,Vegetarian,Weight Loss,Dosa & Coconut Chutney + Orange,320,55,8,5,Chickpea Sundal & Lemon Rice + Sprouted Moong Salad,510,80,16,9,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
185,69,25,Male,Moderately Active,Vegetarian,Maintain,Pesarattu & Ginger Chutney + Muskmelon,300,50,12,5,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Buttermilk,540,88,20,12,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
159,89,52,Female,Very Active,Non-Vegetarian,Maintain,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Fish Fry & Millet Rice + Pomegranate,620,90,30,16,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
155,57,21,Female,Very Active,Vegetarian,Maintain,Barnyard Millet Pongal & Peanut Chutney + Pomegranate,310,54,13,5,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Green Gram Sundal & Chapati + Banana,460,75,19,9
155,66,21,Female,Sedentary,Non-Vegetarian,Weight Loss,Keerai Adai & Coconut Chutney + Watermelon,340,57,14,7,Egg Masala & Ghee Rice + Carrot Raita,610,90,26,16,Chicken Sukka & Millet Roti + Buttermilk,630,90,35,18
164,65,46,Male,Moderately Active,Non-Vegetarian,Maintain,Appam & chicken Curry + Kiwi,340,55,12,6,Grilled Fish & Steamed Rice + Tomato Salad,620,84,28,15,Prawn Masala & Red Rice + Guava,640,92,34,18
158,96,22,Female,Sedentary,Vegetarian,Maintain,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Buttermilk,540,88,20,12,Channa Dal Curry & Jowar Roti + Pomegranate,470,78,20,10
182,69,32,Male,Lightly Active,Vegetarian,Maintain,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Pumpkin Kootu & Chapati + Banana,500,75,16,8,Methi Dal & Jeera Rice + Buttermilk,450,74,18,9
155,100,50,Female,Lightly Active,Vegetarian,Maintain,Kanchipuram Idli & Garlic Chutney + Pomegranate,340,55,10,7,Ragi Mudde & Keerai Kootu + Orange,520,82,22,11,Palak Paneer & Chapati + Guava,490,80,22,12
171,97,33,Male,Moderately Active,Vegetarian,Muscle Gain,Ragi Idli & Avocado Chutney + Papaya,310,52,11,5,Channa Dal Curry & Bajra Roti + Pomegranate,530,83,18,11,Keerai Masiyal & Ragi Roti + Pineapple,450,74,19,8
155,82,23,Female,Very Active,Non-Vegetarian,Weight Loss,Dosa & Coconut Chutney + Orange,320,55,8,5,Fish Curry & Ragi Mudde + Cabbage Poriyal,630,88,30,16,Grilled Fish & Millet Roti + Sprout Salad,550,76,30,14
159,53,60,Male,Moderately Active,Vegetarian,Maintain,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Channa Dal Curry & Bajra Roti + Pomegranate,530,83,18,11,Tomato Kurma & Whole Wheat Roti + Carrot Raita,460,75,18,9
158,60,58,Male,Moderately Active,Vegetarian,Muscle Gain,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Spinach & Lentil Soup + Whole Wheat Bread,460,75,22,9
151,100,39,Male,Very Active,Vegetarian,Muscle Gain,Dosa & Coconut Chutney + Orange,320,55,8,5,Sambar Rice & Curd + Cucumber Salad,550,85,18,12,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
172,73,48,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Methi Paratha & Curd + Banana,350,60,11,8,Rajma Sundal & Coconut Rice + Carrot Raita,540,87,20,12,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
163,64,40,Male,Lightly Active,Vegetarian,Maintain,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Peerkangai (Ridge Gourd) Kootu & Red Rice + Banana,520,82,18,10,Palak Paneer & Chapati + Guava,490,80,22,12
159,58,24,Male,Lightly Active,Non-Vegetarian,Maintain,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Vegetable Biryani & Raita + Guava,580,88,20,14,Fish Curry & Brown Rice + Cabbage Poriyal,610,88,32,16
169,74,51,Male,Very Active,Non-Vegetarian,Muscle Gain,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Vegetable Biryani & Raita + Guava,580,88,20,14,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
190,94,41,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Millet Pongal & Peanut Chutney + Guava,330,58,12,6,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Crab Masala & Red Rice + Carrot Raita,710,98,40,22
187,77,43,Male,Sedentary,Vegetarian,Maintain,Pesarattu (Green Gram Dosa) & Tomato Chutney + Guava,290,50,11,4,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Chapati & Dal Fry + Cucumber Raita,430,72,18,9
163,57,39,Female,Lightly Active,Vegetarian,Muscle Gain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
188,57,44,Male,Sedentary,Vegetarian,Muscle Gain,Methi Paratha & Curd + Banana,350,60,11,8,Rajma Curry & Brown Rice + Mango,540,82,20,12,Vegetable Kurma & Bajra Roti + Buttermilk,460,75,22,10
157,78,24,Male,Sedentary,Non-Vegetarian,Maintain,Red Rice Idli & Green Chutney + Fig,320,54,11,6,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Palak Paneer & Chapati + Guava,490,80,22,12
